FIPS,Percent_change_fast_food_restaurants_2011_2016,FIPS,Percent_change_convenience_stores_2011_2016,FIPS,Metro_nonmetro_counties_2010,FIPS,Persistent_poverty_counties_2010,FIPS,Population_loss_counties_2010,FIPS,Recreation_fitness_facilities_2011,FIPS,Grocery_stores_2011,FIPS,Low_access_to_stores_2010,FIPS,SNAP_benefits_per_capita_2012,FIPS,WIC_redemptions_per_capita_2011
5015,-1.009809579,5015,20.202374083,5015,0,5015,0,5015,0.0,5015,0.072865054,5015,0.218595162,5015,2359.10059974533,5015,15.19296932220459,5015,19.387941360473633
5017,-10.702284946,5017,-3.558467742,5017,0,5017,1,5017,1.0,5017,0.0,5017,0.42760626,5017,601.671568325889,5017,36.34134292602539,5017,37.79764175415039
5019,29.863020448,5019,1.631929047,5019,0,5019,0,5019,0.0,5019,0.08726765,5019,0.1745353,5019,2102.46745058335,5019,17.95266342163086,5019,20.915374755859375
5021,-29.724823449,5021,68.660423723,5021,0,5021,0,5021,1.0,5021,0.063004032,5021,0.189012097,5021,1675.60528108465,5021,16.10849380493164,5021,
5023,23.486625065,5023,2.905520887,5023,0,5023,0,5023,0.0,5023,0.038625,5023,0.308999614,5023,3546.29315138973,5023,14.372276306152344,5023,
5025,4.987893462,5025,31.234866828,5025,1,5025,0,5025,0.0,5025,0.0,5025,0.230627306,5025,2128.97832087174,5025,22.704387664794922,5025,
5027,44.080390276,5027,15.778885044,5027,0,5027,1,5027,1.0,5027,0.162061421,5027,0.202576777,5027,4406.00978052252,5027,26.244888305664062,5027,23.261211395263672
5029,44.361262093,5029,-27.017361942,5029,0,5029,0,5029,0.0,5029,0.094719394,5029,0.189438788,5029,4501.66640100693,5029,23.938562393188477,5029,
5031,-2.415840274,5031,24.884490126,5031,1,5031,0,5031,0.0,5031,0.091547147,5031,0.172922388,5031,24129.9651622144,5031,19.738819122314453,5031,23.424081802368164
5033,-13.973669135,5033,11.172489118,5033,1,5033,0,5033,0.0,5033,0.064725966,5033,0.129451933,5033,13071.2127181389,5033,20.799341201782227,5033,19.644468307495117
5035,-6.908501069,5035,2.400648824,5035,1,5035,1,5035,0.0,5035,0.0396008,5035,0.198004118,5035,6121.09391055296,5035,37.75227737426758,5035,36.53099060058594
5037,27.667234059,5037,74.091682808,5037,0,5037,0,5037,0.0,5037,0.112384806,5037,0.224769611,5037,2947.13343538748,5037,21.178377151489258,5037,24.755348205566406
5039,44.405563033,5039,-5.23384926,5039,0,5039,0,5039,1.0,5039,0.0,5039,0.248539829,5039,1526.37793279742,5039,23.677698135375977,5039,
5041,18.633482476,5041,22.023010547,5041,0,5041,1,5041,1.0,5041,0.078573112,5041,0.471438674,5041,3930.1592419887,5041,36.91564178466797,5041,
5043,8.253084686,5043,-7.856005297,5043,0,5043,0,5043,0.0,5043,0.0534045,5043,0.106809079,5043,3525.58216710135,5043,26.691875457763672,5043,
5045,11.066651377,5045,17.86665044,5045,1,5045,0,5045,0.0,5045,0.103249787,5045,0.120458085,5045,28689.0966100949,5045,14.60396957397461,5045,15.218512535095215
5047,-15.148171203,5047,103.644389112,5047,0,5047,0,5047,0.0,5047,0.0,5047,0.111154338,5047,1893.5372082952,5047,21.277978897094727,5047,
5049,1.652961209,5049,103.305922419,5049,0,5049,0,5049,0.0,5049,0.0,5049,0.081712698,5049,2320.16446730218,5049,19.1865234375,5049,
5051,6.16075295,5051,2.863835157,5051,1,5051,0,5051,0.0,5051,0.072288659,5051,0.144577318,5051,30262.1704352108,5051,19.213184356689453,5051,19.18285369873047
5053,-0.895324417,5053,-10.805791975,5053,1,5053,0,5053,0.0,5053,0.0,5053,0.111532456,5053,2120.47006406329,5053,15.734524726867676,5053,
5055,-7.933289434,5055,1.231722478,5055,0,5055,0,5055,0.0,5055,0.093565063,5055,0.116956329,5055,9286.01360946887,5055,22.067672729492188,5055,25.915369033813477
5057,42.949241805,5057,9.399929953,5057,0,5057,0,5057,0.0,5057,0.133392619,5057,0.222321032,5057,5535.11247094899,5057,25.04213523864746,5057,37.33917999267578
5059,11.433728996,5059,-17.45649704,5059,0,5059,0,5059,0.0,5059,0.030185,5059,0.181110206,5059,6020.59412120734,5059,19.467334747314453,5059,19.35304832458496
5061,28.562658134,5061,2.850126507,5061,0,5061,0,5061,0.0,5061,0.072353665,5061,0.289414659,5061,2027.85693527428,5061,22.969186782836914,5061,41.121498107910156
5063,-11.705397099,5063,-10.128707762,5063,0,5063,0,5063,0.0,5063,0.05428,5063,0.13569994,5063,6846.71367512359,5063,19.04497528076172,5063,27.608510971069336
5065,0.57079318,5065,-12.000555967,5065,0,5065,0,5065,0.0,5065,0.0,5065,0.294833051,5065,810.249206811701,5065,18.13388442993164,5065,14.580448150634766
5067,37.762628305,5067,42.06771044,5067,0,5067,0,5067,1.0,5067,0.111831805,5067,0.167747707,5067,2482.53829395543,5067,26.25996971130371,5067,20.275230407714844
5069,8.05493162,5069,10.825570892,5069,1,5069,1,5069,1.0,5069,0.026313,5069,0.171034628,5069,13186.185996579,5069,34.329036712646484,5069,25.233028411865234
