FIPS,State,County,Predicted_change_obese
21153,Kentucky,Magoffin,5.387731371099008
21155,Kentucky,Marion,2.7237025969841824
21157,Kentucky,Marshall,-0.4403993440645281
21159,Kentucky,Martin,0.9545345832780434
21161,Kentucky,Mason,1.3429848536226325
21163,Kentucky,Meade,-0.9968507483827524
21165,Kentucky,Menifee,3.1344410401167444
21167,Kentucky,Mercer,0.8653698202762572
21169,Kentucky,Metcalfe,3.834042457089314
21171,Kentucky,Monroe,0.5521415104162735
21173,Kentucky,Montgomery,1.4548860771935186
21175,Kentucky,Morgan,0.3245589655364044
21177,Kentucky,Muhlenberg,2.958161796320619
21179,Kentucky,Nelson,2.294389986622667
21183,Kentucky,Ohio,3.4740297612283593
21185,Kentucky,Oldham,-1.4517949675758626
21187,Kentucky,Owen,2.1598849963160056
21189,Kentucky,Owsley,7.617424150636555
21191,Kentucky,Pendleton,0.21968055389565322
21193,Kentucky,Perry,2.2696014120788215
21195,Kentucky,Pike,2.221167393433074
21197,Kentucky,Powell,2.9243629181316604
21199,Kentucky,Pulaski,3.296632694833331
21201,Kentucky,Robertson,0.7448779439961406
21203,Kentucky,Rockcastle,4.378145760915465
21205,Kentucky,Rowan,-0.05720439112405522
21207,Kentucky,Russell,1.6463516457735352
21209,Kentucky,Scott,-0.2024068857881976
21211,Kentucky,Shelby,-0.5133406291397908
21213,Kentucky,Simpson,0.1448937838031659
21215,Kentucky,Spencer,-2.5464321325346546
21217,Kentucky,Taylor,3.0093116590053897
21219,Kentucky,Todd,1.642259067559106
21221,Kentucky,Trigg,-0.23246549419725585
21223,Kentucky,Trimble,0.9151467031804572
21225,Kentucky,Union,0.9725120177062324
21227,Kentucky,Warren,1.7138154109371229
21229,Kentucky,Washington,1.6782506093780967
21231,Kentucky,Wayne,3.7554727918318838
21233,Kentucky,Webster,0.1698418621650073
21235,Kentucky,Whitley,2.902858191451529
21237,Kentucky,Wolfe,1.998029968281057
21239,Kentucky,Woodford,1.2337012956967017
5001,Arkansas,Arkansas,1.3074904793905326
5003,Arkansas,Ashley,1.612713700039582
5005,Arkansas,Baxter,5.37090470491919
5007,Arkansas,Benton,1.3310723573416796
5009,Arkansas,Boone,3.875158324942642
5011,Arkansas,Bradley,5.1098815723240865
5013,Arkansas,Calhoun,3.361610072209179
5015,Arkansas,Carroll,8.592203880729562
5017,Arkansas,Chicot,5.847459444067007
5019,Arkansas,Clark,2.203396849670462
5021,Arkansas,Clay,1.0273096344152475
5023,Arkansas,Cleburne,3.9291734121468513
5025,Arkansas,Cleveland,6.27868265470969
5027,Arkansas,Columbia,6.82825631163766
5029,Arkansas,Conway,6.315242206940272
5031,Arkansas,Craighead,1.934176572103066
5033,Arkansas,Crawford,4.80362627501585
5035,Arkansas,Crittenden,2.9625565369981577
5037,Arkansas,Cross,4.357026737228637
5039,Arkansas,Dallas,-0.7901013543284263
5041,Arkansas,Desha,2.3247898920199757
5043,Arkansas,Drew,2.366381920968387
5045,Arkansas,Faulkner,1.202275948427158
5047,Arkansas,Franklin,2.9471246533897566
5049,Arkansas,Fulton,4.020443513596512
5051,Arkansas,Garland,4.8495801991318395
5053,Arkansas,Grant,2.8347670605333226
5055,Arkansas,Greene,2.0561423264733554
5057,Arkansas,Hempstead,6.743367718531638
5059,Arkansas,Hot Spring,0.9964737732518105
5061,Arkansas,Howard,5.169430836918887
5063,Arkansas,Independence,3.7610619893586055
5065,Arkansas,Izard,4.732749454592366
5067,Arkansas,Jackson,6.411124882205593
5069,Arkansas,Jefferson,1.3584046281084394
5071,Arkansas,Johnson,3.354692937277488
5073,Arkansas,Lafayette,2.349625333585155
5075,Arkansas,Lawrence,0.9211827085514114
5079,Arkansas,Lincoln,2.4741556767412316
5081,Arkansas,Little River,0.4830273310279014
5083,Arkansas,Logan,7.0107286738933094
5085,Arkansas,Lonoke,0.6906721456359097
5087,Arkansas,Madison,4.720745654131656
5089,Arkansas,Marion,3.6203357166589516
5091,Arkansas,Miller,-1.1404461450849834
5093,Arkansas,Mississippi,2.6359628537321167
5095,Arkansas,Monroe,5.611559684016689
5097,Arkansas,Montgomery,4.817195183517608
5099,Arkansas,Nevada,2.167635885702429
5101,Arkansas,Newton,5.750549216845901
5103,Arkansas,Ouachita,4.651299087430822
5105,Arkansas,Perry,6.2303412767629744
5107,Arkansas,Phillips,4.373810373788713
5109,Arkansas,Pike,7.2463040012142965
5111,Arkansas,Poinsett,4.5607459835035336
5113,Arkansas,Polk,3.663254534006245
5115,Arkansas,Pope,2.300507160046108
5117,Arkansas,Prairie,4.011858520454847
5119,Arkansas,Pulaski,2.0566474390343017
5121,Arkansas,Randolph,4.8168105900436675
5123,Arkansas,St. Francis,2.034269180562451
5125,Arkansas,Saline,1.1894287663707983
5127,Arkansas,Scott,0.5136120871519408
5129,Arkansas,Searcy,1.067562410905162
5131,Arkansas,Sebastian,3.456569109433446
5133,Arkansas,Sevier,7.333429502549278
5135,Arkansas,Sharp,6.366070524654027
5137,Arkansas,Stone,2.214705733443151
5139,Arkansas,Union,6.260328965426274
5141,Arkansas,Van Buren,5.7620048345173345
5143,Arkansas,Washington,4.15122317458806
5145,Arkansas,White,5.836076047530162
5147,Arkansas,Woodruff,4.759532807813901
5149,Arkansas,Yell,3.478560647230835
54001,West Virginia,Barbour,1.0433902904544166
54003,West Virginia,Berkeley,2.0526528912358337
54005,West Virginia,Boone,4.365682583970128
54007,West Virginia,Braxton,2.9092005559512586
54009,West Virginia,Brooke,2.6598222540505723
54011,West Virginia,Cabell,2.6419077061544662
54013,West Virginia,Calhoun,2.7637317036203832
54015,West Virginia,Clay,2.165768940364085
54017,West Virginia,Doddridge,3.422093289138413
54019,West Virginia,Fayette,4.357348761476743
54021,West Virginia,Gilmer,3.2492527311678643
54023,West Virginia,Grant,3.283353171966397
54025,West Virginia,Greenbrier,5.433018322638612
54027,West Virginia,Hampshire,2.206071675168939
54029,West Virginia,Hancock,3.3435554014312814
54031,West Virginia,Hardy,4.870791224534139
54033,West Virginia,Harrison,2.548922759680205
54035,West Virginia,Jackson,1.6216413655579642
54037,West Virginia,Jefferson,2.646851639616487
54039,West Virginia,Kanawha,-0.29937451480928495
54041,West Virginia,Lewis,5.367789520968075
54043,West Virginia,Lincoln,0.3036938163586953
54045,West Virginia,Logan,3.424695377593774
54047,West Virginia,McDowell,6.674183958324782
54049,West Virginia,Marion,3.6545997363393012
54051,West Virginia,Marshall,4.170737177033675
54053,West Virginia,Mason,4.922675241540541
54055,West Virginia,Mercer,4.918856939551821
54057,West Virginia,Mineral,2.027588419761297
54059,West Virginia,Mingo,4.308018577379324
54061,West Virginia,Monongalia,-1.4043616355055597
54063,West Virginia,Monroe,4.584650670873008
54065,West Virginia,Morgan,4.175400560852047
54067,West Virginia,Nicholas,1.81252449218209
54069,West Virginia,Ohio,2.0964997161164094
54071,West Virginia,Pendleton,3.3151786416814772
54073,West Virginia,Pleasants,3.7746292532993624
54075,West Virginia,Pocahontas,3.355761649669663
54077,West Virginia,Preston,2.797107291688126
54079,West Virginia,Putnam,2.034345896267868
54081,West Virginia,Raleigh,2.546137917830655
54083,West Virginia,Randolph,4.4035270359865875
54085,West Virginia,Ritchie,2.320600022690922
54087,West Virginia,Roane,2.702919009059077
54089,West Virginia,Summers,4.3689148834831615
54091,West Virginia,Taylor,4.840778664522058
54093,West Virginia,Tucker,2.954361352636937
54095,West Virginia,Tyler,0.9895790793789303
54097,West Virginia,Upshur,4.707935147121488
54099,West Virginia,Wayne,3.0199551706546988
54101,West Virginia,Webster,5.044542351156387
54103,West Virginia,Wetzel,2.6813189597072973
54105,West Virginia,Wirt,1.844215142944408
54107,West Virginia,Wood,3.19707441328735
54109,West Virginia,Wyoming,3.0793321551640758
51001,Virginia,Accomack,1.494011738948712
51007,Virginia,Amelia,1.7491530800724213
51009,Virginia,Amherst,2.3657491607916517
51011,Virginia,Appomattox,2.5077853968113004
51013,Virginia,Arlington,-0.9465525249896345
51017,Virginia,Bath,1.3973617804889713
51019,Virginia,Bedford,2.9694150061659856
51021,Virginia,Bland,0.9058990400201559
51023,Virginia,Botetourt,1.3616232891826514
51025,Virginia,Brunswick,2.0166376122169543
51027,Virginia,Buchanan,-0.6153495304654903
51029,Virginia,Buckingham,1.9278402155056327
51033,Virginia,Caroline,1.5722216705900587
51036,Virginia,Charles City,1.263141554218553
51037,Virginia,Charlotte,1.8670327837653886
51041,Virginia,Chesterfield,1.7334930364769556
51043,Virginia,Clarke,1.124733290779397
51045,Virginia,Craig,3.374099743577517
51047,Virginia,Culpeper,-0.34639613247686246
51051,Virginia,Dickenson,-0.15223478986190742
51057,Virginia,Essex,1.2619953436199542
51061,Virginia,Fauquier,0.3813135889668666
51063,Virginia,Floyd,3.420988805978423
51065,Virginia,Fluvanna,0.7240096996560351
51067,Virginia,Franklin,3.3719668459301007
51071,Virginia,Giles,3.83205907490067
51073,Virginia,Gloucester,2.6065966220083823
51075,Virginia,Goochland,2.1161296599866573
51077,Virginia,Grayson,4.58163911390113
51079,Virginia,Greene,-0.3320772552348179
51083,Virginia,Halifax,1.8295193788786082
51085,Virginia,Hanover,1.6806730049674086
51087,Virginia,Henrico,1.2752768471516742
51091,Virginia,Highland,1.4082448060578407
51093,Virginia,Isle of Wight,0.734573369689081
51099,Virginia,King George,0.044286556095588625
51101,Virginia,King William,1.0662422703320489
51103,Virginia,Lancaster,3.137262060218905
51105,Virginia,Lee,-1.0995561950478872
51107,Virginia,Loudoun,-4.393724565970475
51109,Virginia,Louisa,1.1208658903048168
51111,Virginia,Lunenburg,2.141312238698415
51113,Virginia,Madison,1.016915570931456
51115,Virginia,Mathews,2.2554372276625188
51117,Virginia,Mecklenburg,1.8974100328465844
51119,Virginia,Middlesex,2.4266449136476496
51125,Virginia,Nelson,3.794192948208323
51127,Virginia,New Kent,1.2126849275595006
51131,Virginia,Northampton,1.7266631855348322
51133,Virginia,Northumberland,0.9294728734165218
51135,Virginia,Nottoway,1.0431456196725244
51137,Virginia,Orange,1.1547228437565766
51139,Virginia,Page,0.9119521107214813
51141,Virginia,Patrick,2.644753462154842
51145,Virginia,Powhatan,2.037463199731068
51147,Virginia,Prince Edward,1.6166791424437938
51155,Virginia,Pulaski,3.3233985697980017
51157,Virginia,Rappahannock,1.1481388573038238
51159,Virginia,Richmond,2.4880493872278784
51167,Virginia,Russell,2.109810804798286
51169,Virginia,Scott,3.7402238048173744
51171,Virginia,Shenandoah,0.8074509311619873
51173,Virginia,Smyth,2.452857506968656
51179,Virginia,Stafford,-0.19856798456580718
51181,Virginia,Surry,1.407593612346485
51183,Virginia,Sussex,2.801369306326471
51185,Virginia,Tazewell,0.5397873486910004
51187,Virginia,Warren,0.9882653307073337
51193,Virginia,Westmoreland,1.705599416488836
